SECCIO_CENSAL,HOMES,DONES,EDAT_0_A_14,EDAT_15_A_24,EDAT_25_A_64,EDAT_65_A_MES,NACIONALS,COMUNITARIS,ESTRANGERS
07019,712,791,160,137,840,366,1242,74,187
07020,817,940,231,156,1012,358,1354,115,288
07021,512,538,116,85,573,276,910,70,70
07022,543,604,133,101,638,275,1006,30,111
07023,660,671,168,125,797,241,1079,89,163
07024,694,797,168,134,858,331,1240,87,164
07025,675,762,170,114,876,277,1147,93,197
07026,507,590,116,71,593,317,919,69,109
07027,1005,1137,304,243,1176,419,1725,109,308
07028,716,770,187,141,919,239,1184,97,205
07029,632,679,129,112,703,367,1097,72,142
07030,634,779,183,112,786,332,1136,47,230
07031,775,849,199,156,942,327,1292,92,240
07032,710,760,180,138,841,311,1229,56,185
07033,692,794,177,123,840,346,1253,78,155
07034,882,986,283,167,1066,352,1609,79,180
07035,834,944,216,168,995,399,1533,89,156
07036,644,793,156,118,807,356,1239,53,145
07037,705,827,175,147,850,360,1263,73,196
07038,601,681,125,130,681,346,1087,64,131
07039,765,897,176,160,1023,303,1339,118,205
07040,676,822,179,124,878,317,1231,93,174
07041,638,716,172,98,812,272,1055,77,222
07042,679,828,179,103,891,334,1291,45,171
07043,668,760,173,129,810,316,1160,70,198
07044,614,699,126,112,731,344,1134,52,127
07045,786,844,215,137,918,360,1330,72,228
07046,663,769,176,98,740,418,1197,56,179
07047,722,764,160,121,888,317,1210,74,202
07048,608,720,154,123,742,309,1117,61,150
07049,579,648,129,106,675,317,1032,52,143
07050,576,645,151,90,748,232,977,75,169
07051,817,976,233,173,1026,361,1483,93,217
07052,614,658,184,103,625,360,1148,71,53
07053,682,797,188,124,804,363,1345,45,89
07054,740,844,241,158,833,352,1440,51,93
07055,552,638,153,136,559,342,1147,17,26
07056,591,616,147,127,653,280,1068,55,84
07057,673,750,176,156,781,310,1292,23,108
07058,664,720,182,125,741,336,1284,46,54
07059,650,711,151,116,793,301,1074,110,177
07060,908,951,214,161,1097,387,1570,99,190
07061,610,629,169,121,676,273,1087,40,112
07062,637,702,183,119,794,243,1086,54,199
07063,703,762,203,133,809,320,1237,37,191
07064,815,885,204,164,945,387,1405,57,238
07065,824,923,210,172,999,366,1310,90,347
07066,888,967,244,168,1053,390,1407,74,374
07067,734,834,220,150,899,299,1220,56,292
07068,623,726,179,141,762,267,1020,54,275
07069,686,752,158,141,806,333,1156,41,241
07070,683,767,179,161,795,315,1152,32,266
07071,641,719,161,113,707,379,1174,33,153
07072,666,753,162,157,788,312,1177,52,190
07073,519,633,139,84,622,307,908,25,219
07074,809,897,217,183,933,373,1409,30,267
07075,602,642,132,127,665,320,980,32,232
07076,672,731,171,130,753,349,1163,47,193
