SECCIO_CENSAL,HOMES,DONES,EDAT_0_A_14,EDAT_15_A_24,EDAT_25_A_64,EDAT_65_A_MES,NACIONALS,COMUNITARIS,ESTRANGERS
10124,531,579,129,95,628,258,988,22,100
10125,519,558,107,98,510,362,966,19,92
10126,493,534,100,100,542,285,937,5,85
10127,497,515,165,95,571,181,916,23,73
10128,720,848,162,117,799,490,1441,25,102
10129,568,605,97,125,663,288,1076,19,78
10130,577,631,130,96,656,326,1003,52,153
10131,528,612,87,90,623,340,1061,10,69
10132,591,695,166,104,652,364,1085,26,175
10133,818,903,186,156,848,531,1418,62,241
10134,706,876,185,133,786,478,1335,58,189
10135,601,659,189,105,615,351,1077,30,153
10136,649,739,147,127,630,484,1205,16,167
10137,773,821,178,152,827,437,1322,47,225
10138,769,859,230,157,931,310,1305,52,271
10139,816,869,213,148,921,403,1316,38,331
10140,794,856,192,179,912,367,1276,33,341
10141,543,589,145,106,590,291,993,23,116
10142,774,855,213,137,923,356,1308,42,279
10143,823,915,209,185,938,406,1418,53,267
10234,854,1010,179,184,1031,470,1607,74,183
10235,629,709,150,79,710,399,1097,80,161
10236,752,862,162,106,752,594,1349,83,182
10237,424,512,108,90,515,223,776,27,133
